Lower Depth Range (m),Upper Depth Range (m),Smectite,Illite,Chlorite,"Interlayered
Chlorite-Smectite",% chlorite in C/S,Kaolinite,Biotite,Hornblende,Augite,Titanite,Apatite,Plagioclase,K-feldspar,Quartz,Epidote,Calcite,Dolomite,Siderite,Anhydrite,Hematite
30.5,33.5,tr,tr,,,,,,,,,,40,44,17,,,,,,
61.0,64.0,tr,4,,,,,tr,,,,,42,33,20,,,,,,tr
91.4,94.5,tr,tr,,,,,,,,,,39,34,26,,2,,,,
121.9,125.0,tr,4,,,,,1,,,,,35,39,20,,,,,,tr
152.4,155.4,tr,4,,,,,tr,,,,,35,39,21,,,,,,tr
182.9,185.9,tr,tr,,,,,,,,,,35,49,16,,,,,,tr
213.3,216.4,tr,tr,,,,,,,,,,36,43,20,,,,,,tr
243.8,246.9,tr,tr,,,,,,,,,,38,43,18,,,,,,tr
274.3,277.4,tr,tr,,,,,,,,,,31,41,28,,,,,,tr
304.8,307.8,tr,3,,,,,2,,,,,37,34,24,,,,,,tr
335.3,338.3,tr,tr,,,,,,,,,,40,36,24,,,,,,tr
365.7,368.8,tr,tr,,,,,,,,,,36,39,25,,,,,,tr
396.2,399.3,tr,tr,,,,,,,,,,37,37,25,,,,,,tr
426.7,429.7,tr,tr,,,,,,,,,,38,35,26,,,,,,tr
457.2,460.2,tr,tr,,,,,,,,,,34,38,27,,,,,,tr
487.7,490.7,tr,tr,,,,,,,,,,35,38,26,,,,,,1
518.1,521.2,tr,tr,,,,,,,,,,33,38,28,,,,,,tr
548.6,551.7,tr,3,,,,,tr,,,,,36,35,25,,,,,,1
579.1,582.1,tr,3,,,,,t,,,,,34,41,20,,,,,,tr
609.6,612.6,tr,4,,,,,t,,,,,34,40,21,,,,,,tr
640.0,643.1,tr,3,,,,,3,,,,,37,33,22,,,,,,1
670.5,673.6,tr,4,,,,,1,,,,,35,34,25,,,,,,tr
701.0,704.1,tr,3,,,,,1,,,,,35,36,24,,,,,,tr
731.5,734.5,tr,2,,,,,4,,,,,42,37,15,,,,,,1
762.0,765.0,tr,3,,,,,2,,,,,35,34,26,,,,,,1
792.4,795.5,tr,3,,,,,1,,,,,38,37,19,,,,,,1
822.9,826.0,tr,3,,,,,,,,,,38,40,18,,,,,,tr
853.4,856.4,tr,4,,,,,t,,,,,36,38,20,,,,,,1
883.9,886.9,tr,4,,,,,1,,,,,38,37,19,,,,,,1
